table_name,rows_ct610,rows_vm620,delta_vm620_minus_ct610,status
ASC_ContribuicaoAssociado,31687,34631,2944,diverged
ASC_MapaContribuicaoAssociado,60671,63932,3261,diverged
ASS_Apresentador,0,0,0,match
ASS_Atendimento,0,0,0,match
ASS_AtendimentoDetalhe,0,0,0,match
ASS_Campanha,0,0,0,match
ASS_Cesta,0,0,0,match
ASS_CestaProduto,0,0,0,match
ASS_Entidade,0,0,0,match
ASS_Familia,0,0,0,match
ASS_FamiliaFamiliar,0,0,0,match
ASS_FamiliaObservacao,0,0,0,match
ASS_GrupoCampanha,0,0,0,match
ASS_GrupoProduto,0,0,0,match
ASS_Produto,0,0,0,match
ASS_SenhaAtendimento,0,0,0,match
ASS_TipoEntidade,0,0,0,match
ATE_AgendaPessoaTratamento,46290,51529,5239,diverged
ATE_Doacao,0,0,0,match
ATE_GrupoAtendimento,3,3,0,match
ATE_ItemDoacao,2,2,0,match
ATE_TipoTratamento,65,65,0,match
ATE_Tratamento,184420,201871,17451,diverged
BIB_Autor,1372,1372,0,match
BIB_Classificacao,15,15,0,match
BIB_LivroDoado,1308,1737,429,diverged
BIB_Titulo,3044,3116,72,diverged
BIB_TituloAutor,3039,3102,63,diverged
BIB_Tombo,5091,5281,190,diverged
BIB_TomboTiluloEmprestimo,6704,7053,349,diverged
BKPATE_AgendaPessoaTratamento,20120,20120,0,match
CRM_Pessoa,57069,60494,3425,diverged
DIV_Assunto,0,0,0,match
DIV_Evento,145,145,0,match
DIV_Foto,2,2,0,match
DIV_FotoGrupo,0,0,0,match
DIV_FotoPersonalidade,0,0,0,match
DIV_Grupo,16,16,0,match
DIV_Mensagem,1,1,0,match
DIV_Pasta,1,1,0,match
DIV_Personalidade,36,36,0,match
DIV_Projeto,2,2,0,match
EDU_Curso,7,7,0,match
EDU_PessoaCurso,346,346,0,match
FIN_Categoria,0,0,0,match
FIN_CentroCusto,0,0,0,match
FIN_CentroCustoRateio,0,0,0,match
FIN_Conta,0,0,0,match
FIN_ContaContabil,537,537,0,match
FIN_ContaSaldo,0,0,0,match
FIN_Doacao,4876,6152,1276,diverged
FIN_FluxoCaixa,0,0,0,match
FIN_FluxoCaixaRateioCentroCusto,0,0,0,match
FIN_FormaPagamento,12,12,0,match
FIN_LancamentoContabil,0,0,0,match
FIN_MotivoDoacao,5,5,0,match
GER_Area,0,0,0,match
IDE_Configuracao,20,20,0,match
INI,5,8,3,diverged
PAT_Departamento,1,1,0,match
PAT_Item,2,2,0,match
PAT_TipoItem,3,3,0,match
PlanoContas,537,537,0,match
SEG_Operador,20,22,2,diverged
SEG_PerfilAcesso,7,7,0,match
VOL_Disponibilidade,0,0,0,match
VOL_FaculdadeMediunica,8,8,0,match
VOL_Funcao,7,7,0,match
VOL_FuncaoDoutrinaria,3,3,0,match
VOL_Grupo,14,14,0,match
VOL_GrupoNaoEspiritual,21,21,0,match
VOL_GrupoPrincipal,1,1,0,match
VOL_Local,1,1,0,match
VOL_LocalGrupo,5,5,0,match
VOL_LocalGrupoPessoa,107,110,3,diverged
VOL_LocalGrupoPessoaData,0,0,0,match
VOL_PessoaFaculdadeMediunica,276,276,0,match
VOL_PessoaFuncaoDoutrinaria,21,21,0,match
VOL_PessoaGrupo,162,162,0,match
VOL_PessoaGrupoNaoEspiritual,66,66,0,match
VOL_Voluntario,0,0,0,match
tbl_Leitores,2258,2258,0,match
tmpContribuicao,845,845,0,match
